directory,file_name,variable_name,variable_type,description
data,containment.rda,sample_id,character,unique identifier for each sampling location in the format ##-Location-ddmmyyyy
data,containment.rda,location_id,character,unique location identifier for each sampling day in the format of (#)-day of sampling (a) - location in that day
data,containment.rda,date,"c(""POSIXct"", ""POSIXt"")",date of sampling
data,containment.rda,area,numeric,surface area of liquid surface in containment m^2
data,containment.rda,sludge_depth,numeric,"depth in meters, of where from the top of the sludge the sample was taken"
data,containment.rda,containment_depth,numeric,"depth in meters, from the top of the containment to the bottom of the containment"
data,containment.rda,containment_volume,numeric,total volume of the containment in m^3
data,containment.rda,fs_volume,numeric,total volume of the sludge in containment in m^3
data,containment.rda,accumulation_rate,numeric,the accumulation rate in litres/capita -year (based on total volume and number of users)
data,containment.rda,scum_depth,numeric,the depth of the top scum layer in centimeters
data,ghg.rda,sample_id,character,unique identifier for each sampling location in the format ##-Location-ddmmyyyy
data,ghg.rda,location_id,character,unique location identifier for each sampling day in the format of (#)-day of sampling (a) - location in that day
data,ghg.rda,date,"c(""POSIXct"", ""POSIXt"")",date of sampling
data,ghg.rda,users,numeric,average number of users for the sanitation system that was sampled
data,ghg.rda,flux_ch4,numeric,methane flux in grams/capita-day - based on number of users
data,ghg.rda,flux_co2,numeric,carbon dioxide flux in gram/capita-day - based on number of users
data,ghg.rda,flux_n20,numeric,nitrious oxide flux in gram/capita-day - based on number of users
data,household_survey.rda,sample_id,character,unique identifier for each sampling location in the format ##-Location-ddmmyyyy
data,household_survey.rda,location_id,character,unique location identifier for each sampling day in the format of (#)-day of sampling (a) - location in that day
data,household_survey.rda,date,"c(""POSIXct"", ""POSIXt"")",date of sampling
data,household_survey.rda,local_area_name,factor,community / area name that locals commonly use where samples were taken
data,household_survey.rda,establishment_type,factor,"type of establishment where sampling occurred (household, commercial, school, office building, other)"
data,household_survey.rda,users,numeric,average number of users for the sanitation system that was sampled
data,household_survey.rda,last_emptied,numeric,in years how long ago from sampling date the containment was last emptied
data,household_survey.rda,shared_toilet,logical,Is the toilet(s) connected to the sanitation containment shared or not?
data,household_survey.rda,rent_or_own,factor,Is the establishment where the containment is rented or owned by the head of household?
data,household_survey.rda,containment,factor,"The type of containment (septic tank, pit latrine, treatment plant unit, etc.)"
data,household_survey.rda,lining,factor,"The type of containment lining (fully lined, unlined, don't know)"
data,household_survey.rda,lining_material,factor,"The material the lining is made of if it is lined (fiberglass, concreate, PVC, unlined, etc.)"
data,household_survey.rda,change_in_liquid_level,logical,Is there a change in liquid level due to seasonal variation?
data,household_survey.rda,baffles,logical,Are there baffles in the containment?
data,household_survey.rda,outflow,logical,Is there an outflow for the containment?
data,household_survey.rda,outflow_location,factor,"If there is an outflow, where is it located (i.e., leech field)"
data,household_survey.rda,toilet_type,factor,"What is the type of toilet connected to the sanitation system (cistern flush, pour-flush, etc.)"
data,household_survey.rda,anal_cleansing_material,factor,"What type of material is used for anal cleansing (water, paper, both)"
data,household_survey.rda,paper,logical,Is paper used for anal cleansing?
data,household_survey.rda,water,logical,Is water used for anal cleansing?
data,household_survey.rda,additives,logical,Are there additives added to the containment?
data,household_survey.rda,frequency,factor,"If additives are added, in what frequency?"
data,household_survey.rda,chemicals,factor,What chemicals are added to the sanitation system?
data,household_survey.rda,wastewater_type,factor,"What are the types of wastewater that the containment collects (toilet, kitchen, laundry, bathing)"
data,household_survey.rda,toilet,logical,Does the containment collect toilet type of wastewater?
data,household_survey.rda,bathing,logical,Does the containment collect bathing type of wastewater?
data,household_survey.rda,laundry,logical,Does the containment collect laundry type of wastewater?
data,household_survey.rda,kitchen,logical,Does the containment collect kitchen type of wastewater?
data,household_survey.rda,water_connection,logical,"Is there a water connection?"
data,household_survey.rda,tap_inside_building,numeric,Does the establishment have this type of water connection (Yes = 1 | No = 0)
data,household_survey.rda,standpipe,numeric,Does the establishment have this type of water connection (Yes = 1 | No = 0)
data,household_survey.rda,containment_age,factor,What is the age (in years) of the containment system?
data,household_survey.rda,containment_constructed,factor,"Who constructed the containment system (Technician, professional engineering, myself, don't know)?"
data,household_survey.rda,containment_volume,numeric,What (in m^3) is the total volume of the containment?
data,household_survey.rda,fully_emptied,logical,When the system was last emptied was it emptied fully?
data,household_survey.rda,emptying_interval,numeric,What is the average / typical emptying interval (in years) of the containment?
data,household_survey.rda,rainy_season,logical,Is it currently the rainy season?
data,household_survey.rda,solid_waste,logical,"Does the containment contain solid waste (i.e., garbage)"
data,household_survey.rda,type,factor,"If there is solid waste, what type is it? "
data,phys_chem_parameter.rda,sample_id,character,unique identifier for each sampling location in the format ##-Location-ddmmyyyy
data,phys_chem_parameter.rda,location_id,character,unique location identifier for each sampling day in the format of (#)-day of sampling (a) - location in that day
data,phys_chem_parameter.rda,date,"c(""POSIXct"", ""POSIXt"")",date of sampling
data,phys_chem_parameter.rda,depth_id,factor,"unique identifier for each sample indicating the location in the containment (T = top, M = middle, B = bottom)"
data,phys_chem_parameter.rda,sludge_depth,numeric,"depth in meters, of where from the top of the sludge the sample was taken"
data,phys_chem_parameter.rda,temperature,numeric,Temperature of the sludge at the insitu sampling location (in degrees Celsius)
data,phys_chem_parameter.rda,DO,numeric,dissolved oxygen concentration in mg/L at the insitu sampling location
data,phys_chem_parameter.rda,pH,numeric,pH value at the insitu sampling location
data,phys_chem_parameter.rda,ORP,numeric,"oxidation reduction potential, measured in millivolts, at the insitu sampling locations"
data,phys_chem_parameter.rda,EC,numeric,"electrical conductivity, measured in microSiemens, at the insitu sampling locations "
data,phys_chem_parameter.rda,COD,numeric,"Chemical oxygen demand, mg/L"
data,phys_chem_parameter.rda,soluble_COD,numeric,"Soluble chemical oxygen demand, mg/L"
data,phys_chem_parameter.rda,sulphide,numeric,"Sulphide, mg/L"
data,phys_chem_parameter.rda,total_nitrogen,numeric,"Total Nitrogen, mg/L"
data,phys_chem_parameter.rda,nitrite,numeric,"Nitrite, mg/L"
data,phys_chem_parameter.rda,nitrate,numeric,"Nitrate, mg/L"
data,phys_chem_parameter.rda,ammonia,numeric,"Ammonia, mg/L"
data,phys_chem_parameter.rda,TKN,numeric,"Total Kjeldahl Nitrogen, mg/L"
data,phys_chem_parameter.rda,ortho_phosphorous,numeric,"Ortho Phosphorous, mg/L"
data,phys_chem_parameter.rda,total_phosphorous,numeric,"Total Phosphorous, mg/L"
data,phys_chem_parameter.rda,BOD,numeric,"Biochemical oxygen demand, mg/L"
data,phys_chem_parameter.rda,TOC,numeric,"Total organic carbon, mg/L"
data,phys_chem_parameter.rda,ts,numeric,"Total solids, g/L"
data,phys_chem_parameter.rda,vs,numeric,"Volatile Solids, g/L"
data,phys_chem_parameter.rda,vs_percent,numeric,"Volatile Solids, % total solids"
data,phys_chem_parameter.rda,sand_content,numeric,"Sand content, g/L"
data,phys_chem_parameter.rda,tss,numeric,"Total suspended solids, g/L"
data,phys_chem_parameter.rda,vss,numeric,"Volatile suspended solids, g/L"
data,phys_chem_parameter.rda,vss_tss,numeric,VSS/TSS (ratio)
