sample_id,location_id,date,area,sludge_depth,containment_depth,containment_volume,fs_volume,accumulation_rate,scum_depth
01-Pender-06042023,1a,2023-04-06T00:00:00Z,1,0.4,1.7,1.6953,1.6914,169.14000000000001,0
02-Pender-06042023,1b,2023-04-06T00:00:00Z,1.64,0.53,2.36,3.86,3,1000,11
03-Saanich-12042023,2a,2023-04-12T00:00:00Z,1.57,0.89,2.7,4.2476,4.2337,705.6166666666667,0
04-Saanich-12042023,2b,2023-04-12T00:00:00Z,0.92,0.71,1.75,1.6,0.95,52.77777777777778,5
05-SSI-19042023,3a,2023-04-19T00:00:00Z,0.96,0.47,1.35,1.29,0.85,212.5,8
06-SSI-19042023,3b,2023-04-19T00:00:00Z,1.12,0.65,2.01,2.25,1.53,44.78048780487805,10
07-NS-2604223,4a,2023-04-26T00:00:00Z,1.46,0.28,1.66,2.42,2.02,91.81818181818181,16
08-NS-26042023,4b,2023-04-26T00:00:00Z,2.84,0.86,1.85,5.25,2.82,176.25,10
09-PL-09052023,5a,2023-05-09T00:00:00Z,1.44,0.72,2.34,3.36,2.33,3.0657894736842106,0
10-DC-09052023,5b,2023-05-09T00:00:00Z,1.91,0.98,1.92,3.66,1.8,1.6304347826086956,5
11-NS-25052023,6a,2023-05-25T00:00:00Z,0.32,0.38,1.24,0.4,0.28,70,0
12-NS-25052023,6b,2023-05-25T00:00:00Z,0.16,0.49,1.6,0.25,0.17,85,10
13-PI-31052023,7a,2023-05-31T00:00:00Z,3.49,0.83,2.25,7.85,4.96,99.2,0
14-PI-31052023,7b,2023-05-31T00:00:00Z,1.14,0.79,1.85,2.1,1.21,201.66666666666666,8
15-PI-31052023,7c,2023-05-31T00:00:00Z,0.65,0.26,1.3,0.85,0.68,136,0
16-DC-07062023,8a,2023-06-07T00:00:00Z,0.22,0.63,1.95,0.42,0.29,27.61904761904762,3
17-DC-07062023,8b,2023-06-07T00:00:00Z,0.81,0.68,1.81,1.47,0.92,92,15
18-PI-08062023,9a,2023-06-08T00:00:00Z,0.65,4.15,5,3.25,2.7,675,5
19-PI-08062023,9b,2023-06-08T00:00:00Z,0.55,4.9,5,2.75,2.7,300,8
20-PI-08062023,9c,2023-06-08T00:00:00Z,0.26,0.8,2,0.52,0.31,51.666666666666664,10
21-PI-21062023,10a,2023-06-21T00:00:00Z,2.07,0.77,2,4.14,2.55,51,5
22-MET-21062023,10b,2023-06-21T00:00:00Z,2.69,0.81,1.6,4.31,2.14,2853.3333333333335,0
01-K-15012024,11a,2024-01-15T00:00:00Z,2.68,0.92,3,8.03,5.57,121.08695652173913,13
02-K-16012024,12a,2024-01-16T00:00:00Z,5.08,1.85,3.5,17.78,8.4,700,0
03-K-16012024,12b,2024-01-16T00:00:00Z,3.99,0.95,3,11.96,8.18,545.3333333333334,1
04-K-16012024,12c,2024-01-16T00:00:00Z,3.27,1.39,3.5,11.45,6.91,575.8333333333334,1
05-K-16012024,12d,2024-01-16T00:00:00Z,3.41,1.35,3.5,11.94,7.35,163.33333333333334,3
06-KS-22012024,13a,2024-01-22T00:00:00Z,0.96,0.79,3,2.88,2.12,235.55555555555554,5
07-NJ-23012024,14a,2024-01-23T00:00:00Z,1.65,1.29,3.1,5.13,3,20,1
08-KK-29012024,15a,2024-01-29T00:00:00Z,1.83,0.53,1.55,2.84,1.88,13.428571428571429,1
09-KK-29012024,15b,2024-01-29T00:00:00Z,4.54,1.87,3,13.62,5.14,24.476190476190474,1
10-KK-30012024,16a,2024-01-30T00:00:00Z,11.15,0.76,3,33.44,25,416.6666666666667,1
11-KK-30012024,16b,2024-01-30T00:00:00Z,3.28,0.55,2.65,8.69,6.9,115,5
12-KK-30012024,16c,2024-01-30T00:00:00Z,11.57,0.52,4,46.3,40.31,1832.2727272727273,6
13-KK-05022024,17a,2024-02-05T00:00:00Z,3.29,0.52,2.55,8.39,6.69,63.714285714285715,8
14-KW-06022024,18a,2024-02-06T00:00:00Z,1.63,0.85,2.6,4.23,2.85,22.093023255813954,3
15-KW-06022024,18b,2024-02-06T00:00:00Z,0.95,0.27,1.95,1.86,1.6,27.586206896551722,8
16-KW-12022024,19a,2024-02-12T00:00:00Z,1.45,0.95,3,4.34,2.97,445.50000000000006,0
17-KK-12022024,19b,2024-02-12T00:00:00Z,3.59,0.25,2.4,8.62,6.91,431.875,5
18-KK-13022024,20a,2024-02-13T00:00:00Z,0.73,0.38,2.2,1.62,1.34,51.53846153846154,8
19-KK13022024,20b,2024-02-13T00:00:00Z,1.74,0.5,4.5,7.81,7.23,2065.714285714286,3
