sample_id,location_id,date,users,flux_ch4,flux_co2,flux_n20
01-Pender-06042023,1a,2023-04-06T00:00:00Z,2,27.256032960311835,0,0
02-Pender-06042023,1b,2023-04-06T00:00:00Z,3,31.68390874762994,87.43459813012765,0
03-Saanich-12042023,2a,2023-04-12T00:00:00Z,2,7.056964696025961,63.143274473722634,0
04-Saanich-12042023,2b,2023-04-12T00:00:00Z,3,40.083047620108,19.32545041520487,0
05-SSI-19042023,3a,2023-04-19T00:00:00Z,2,85.61967667265259,161.51600270489382,0
06-SSI-19042023,3b,2023-04-19T00:00:00Z,410,0.4180421541434486,0,0
07-NS-2604223,4a,2023-04-26T00:00:00Z,2,41.58126846100416,0,0
08-NS-26042023,4b,2023-04-26T00:00:00Z,2,116.9319533376742,179.60486212833976,0
09-PL-09052023,5a,2023-05-09T00:00:00Z,304,0,0,0
10-DC-09052023,5b,2023-05-09T00:00:00Z,368,1.1288055659963265,0.3987728800150286,0
11-NS-25052023,6a,2023-05-25T00:00:00Z,4,0.16777941727158485,3.496699440633452,0
12-NS-25052023,6b,2023-05-25T00:00:00Z,2,14.571948977041183,19.803629333789317,0
13-PI-31052023,7a,2023-05-31T00:00:00Z,10,3.471994323655746,0,0
14-PI-31052023,7b,2023-05-31T00:00:00Z,2,153.2423560757739,176.11862559465976,0
15-PI-31052023,7c,2023-05-31T00:00:00Z,10,0,0,0
16-DC-07062023,8a,2023-06-07T00:00:00Z,3,28.485341453873755,81.11974136168314,0
17-DC-07062023,8b,2023-06-07T00:00:00Z,2,30.76016427159244,0,0
18-PI-08062023,9a,2023-06-08T00:00:00Z,2,15.20950049515536,0,0
19-PI-08062023,9b,2023-06-08T00:00:00Z,3,36.1174196010493,59.718406767352484,0
20-PI-08062023,9c,2023-06-08T00:00:00Z,2,13.6916997203912,0,0
21-PI-21062023,10a,2023-06-21T00:00:00Z,200,0.7842522365444451,1.3278801150469495,0
22-MET-21062023,10b,2023-06-21T00:00:00Z,3,0,0,0
01-K-15012024,11a,2024-01-15T00:00:00Z,23,40.7605297469947,77.83792829273209,0
02-K-16012024,12a,2024-01-16T00:00:00Z,4,13.78189684420064,489.5511674618088,0
03-K-16012024,12b,2024-01-16T00:00:00Z,5,13.922565398619984,142.9418591356909,0
04-K-16012024,12c,2024-01-16T00:00:00Z,4,37.863042537419226,0,0
05-K-16012024,12d,2024-01-16T00:00:00Z,15,21.609484786801232,0,0
06-KS-22012024,13a,2024-01-22T00:00:00Z,9,16.940467516231084,16.25090448344744,0
07-NJ-23012024,14a,2024-01-23T00:00:00Z,15,6.901401531310083,23.36030816091968,0
08-KK-29012024,15a,2024-01-29T00:00:00Z,14,0.6822805303921189,0,0
09-KK-29012024,15b,2024-01-29T00:00:00Z,35,0.7650285182270803,7.739177459094555,0
10-KK-30012024,16a,2024-01-30T00:00:00Z,30,18.99466229724479,160.38552456591518,0
11-KK-30012024,16b,2024-01-30T00:00:00Z,30,10.90548681680412,31.764058108059167,0
12-KK-30012024,16c,2024-01-30T00:00:00Z,88,25.18391418572334,39.861061346201026,0
13-KK-05022024,17a,2024-02-05T00:00:00Z,35,12.560183791534289,33.03565042453209,0
14-KW-06022024,18a,2024-02-06T00:00:00Z,43,3.252169682435624,15.046435130031679,0
15-KW-06022024,18b,2024-02-06T00:00:00Z,29,5.292387198345209,9.689658198069047,0
16-KW-12022024,19a,2024-02-12T00:00:00Z,10,0,19.447947290655982,0
17-KK-12022024,19b,2024-02-12T00:00:00Z,16,41.48733670085722,71.6871984130468,0
18-KK-13022024,20a,2024-02-13T00:00:00Z,52,4.6043646132977205,8.858287551555566,0
19-KK13022024,20b,2024-02-13T00:00:00Z,14,3.5666395482277267,25.96590803238722,0
